name,energy,fflags,visible,opts,conc
i0,0.0,,,,1.7967509134577538e-17
i1,-0.63,,,,1.0415334727305263e-05
i2,-0.22,,,,0.0025263365262031
i3,0.24,,,,2.2719836645935706e-07
i4,-0.47,,,,0.0003832327480384
i5,-0.17,,,,2.068721151505114e-12
i6,-0.69,,,,7.970780195592515e-10
i7,-1.32,,,,0.9970797873898484
i8,0.37,,,,1.3625503991224709e-15
i9,1.18,,,,1.3089758890053461e-23
i10,0.55,,,,2.3340856469146343e-16
i11,1.44,,,,3.4683206916946016e-24
i12,2.17,,,,1.6115753188898429e-35
i13,-0.02,,,,3.669389146532324e-12
i14,1.55,,,,1.4147378899081123e-28
i15,0.95,,,,2.5224887200284678e-21
i16,1.73,,,,3.040224062810646e-28
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
