name,energy,fflags,visible,opts,conc
i0,0.0,,,,6.580287410669109e-13
i1,-0.63,,,,0.91507299572214
i2,-0.22,,,,0.084840295544954
i3,0.24,,,,7.629717661751431e-06
i4,-0.47,,,,7.871058583434142e-05
i5,-0.17,,,,4.248857395014639e-13
i6,-0.69,,,,1.6351314376385156e-10
i7,-1.32,,,,3.682648152874333e-07
i8,0.37,,,,4.57398294175105e-22
i9,1.18,,,,4.3532669582050585e-30
i10,0.55,,,,7.098657302079491e-27
i11,1.44,,,,7.985347582003845e-35
i12,2.17,,,,3.598910224233854e-46
i13,-0.02,,,,8.012763752462562e-19
i14,1.55,,,,3.087686405980552e-35
i15,0.95,,,,4.60903547789912e-32
i16,1.73,,,,3.5711628781599257e-41
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
