Label,theta
i0,0.0066543386623193965
i1,0.9932924078549124
i2,5.324880869183728e-05
i3,4.644771630655451e-09
i4,2.930346739227949e-11
i5,1.5798407561228214e-19
i6,3.862653733323567e-17
i7,4.773205690445575e-17
i8,2.867479964496026e-34
i9,1.3442754568394293e-42
i10,9.731849316333397e-43
i11,1.8298674613992113e-53
i12,8.211575743109484e-65
i13,1.2516091587741433e-31
i14,2.235285791043518e-48
i15,1.6087696822449195e-48
i16,6.426729739204492e-61
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
