Label,theta
i0,0.9999824191226506
i1,1.7580877345613603e-05
i2,2.0477799427897253e-15
i3,8.861994007731363e-24
i4,1.187254065714498e-31
i5,8.665207779717424e-43
i6,9.775760362483333e-46
i7,2.4555609423868565e-51
i8,3.3705805137077974e-74
i9,7.098863426256638e-88
i10,1.2481324653583165e-93
i11,6.026492598887835e-110
i12,1.5309230496151252e-124
i13,1.466734144302665e-71
i14,1.1074847109673818e-93
i15,1.9471956381500164e-99
i16,2.0047980110824213e-117
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
