name,energy,fflags,visible,opts,conc
i0,0.0,,,,5.928116616386666e-17
i1,-0.63,,,,3.437647826341352e-05
i2,-0.22,,,,0.0083383352486538
i3,0.24,,,,7.498827364586522e-07
i4,-0.47,,,,0.0012648841903157
i5,-0.17,,,,6.827946442739792e-12
i6,-0.69,,,,2.6291526643036404e-09
i7,-1.32,,,,0.9903616515604052
i8,0.37,,,,1.3533692416885448e-15
i9,1.18,,,,1.3001521704354173e-23
i10,0.55,,,,1.7624903944765848e-16
i11,1.44,,,,2.618939337698631e-24
i12,2.17,,,,1.216780864591739e-35
i13,-0.02,,,,3.644656333436409e-12
i14,1.55,,,,1.405194206384649e-28
i15,0.95,,,,1.904718021684613e-21
i16,1.73,,,,2.2879088996360274e-28
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
