Label,theta
i0,1.7967509134577538e-17
i1,1.0415334727305263e-05
i2,0.00252633652620312
i3,2.2719836645935706e-07
i4,0.0003832327480384512
i5,2.068721151505114e-12
i6,7.970780195592515e-10
i7,0.9970797873898484
i8,1.3625503991224707e-15
i9,1.308975889005346e-23
i10,2.334085646914634e-16
i11,3.468320691694601e-24
i12,1.6115753188898429e-35
i13,3.669389146532324e-12
i14,1.4147378899081123e-28
i15,2.522488720028468e-21
i16,3.0402240628106466e-28
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
