name,energy,fflags,visible,opts,conc
i0,0.0,,,,0.0066543386623193
i1,-0.63,,,,0.9932924078549124
i2,-0.22,,,,5.324880869183728e-05
i3,0.24,,,,4.644771630655451e-09
i4,-0.47,,,,2.930346739227949e-11
i5,-0.17,,,,1.5798407561228214e-19
i6,-0.69,,,,3.862653733323567e-17
i7,-1.32,,,,4.7732056904455746e-17
i8,0.37,,,,2.8674799644960263e-34
i9,1.18,,,,1.3442754568394293e-42
i10,0.55,,,,9.731849316333397e-43
i11,1.44,,,,1.8298674613992115e-53
i12,2.17,,,,8.211575743109484e-65
i13,-0.02,,,,1.251609158774143e-31
i14,1.55,,,,2.2352857910435177e-48
i15,0.95,,,,1.6087696822449195e-48
i16,1.73,,,,6.426729739204492e-61
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
