name,energy,fflags,visible,opts,conc
i0,0.0,,,,1.8602019660873057e-15
i1,-0.63,,,,0.0010789674798255
i2,-0.22,,,,0.2617136191233679
i3,0.24,,,,2.353641572498698e-05
i4,-0.47,,,,0.0396949276986277
i5,-0.17,,,,2.1427640763446095e-10
i6,-0.69,,,,8.248691151178442e-08
i7,-1.32,,,,0.6974888665786985
i8,0.37,,,,9.531226265286017e-16
i9,1.18,,,,9.156346159619288e-24
i10,0.55,,,,2.4441789409298058e-17
i11,1.44,,,,3.6313441003026038e-25
i12,2.17,,,,1.6842972765154833e-36
i13,-0.02,,,,2.566445399910422e-12
i14,1.55,,,,9.89476581096701e-29
i15,0.95,,,,2.640537330377685e-22
i16,1.73,,,,2.9940529191450766e-29
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
