name,energy,fflags,visible,opts,conc
i0,0.0,,,,5.138535046287444e-14
i1,-0.63,,,,0.0703070623088925
i2,-0.22,,,,0.8939781410967299
i3,0.24,,,,8.039716426578816e-05
i4,-0.47,,,,0.0303030635039891
i5,-0.17,,,,1.6357836777865775e-10
i6,-0.69,,,,6.296964068578591e-08
i7,-1.32,,,,0.0053312727928343
i8,0.37,,,,7.266600184845024e-18
i9,1.18,,,,6.978367451191788e-26
i10,0.55,,,,4.041514620160549e-21
i11,1.44,,,,5.954916452416203e-29
i12,2.17,,,,2.699720247733037e-40
i13,-0.02,,,,1.9308584358490453e-14
i14,1.55,,,,7.444187876806438e-31
i15,0.95,,,,4.28584912356762e-26
i16,1.73,,,,1.01945151508701e-33
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
