name,energy,fflags,visible,opts,conc
i0,0.0,,,,5.480331572009798e-20
i1,-0.63,,,,2.6302477232770113e-08
i2,-0.22,,,,6.379910863375284e-06
i3,0.24,,,,5.737578154299419e-10
i4,-0.47,,,,9.678009027389375e-07
i5,-0.17,,,,5.224266997508533e-15
i6,-0.69,,,,2.730181355807573e-12
i7,-1.32,,,,0.9999926254055832
i8,0.37,,,,1.3665311499014949e-15
i9,1.18,,,,1.3128181559347653e-23
i10,0.55,,,,5.212077027836781e-16
i11,1.44,,,,7.744972573332706e-24
i12,2.17,,,,3.5993903182870297e-35
i13,-0.02,,,,3.680112757970205e-12
i14,1.55,,,,1.418913260060576e-28
i15,0.95,,,,5.632979636262808e-21
i16,1.73,,,,6.8292154401749225e-28
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
