Label,theta
i0,5.480331572009798e-20
i1,2.630247723277011e-08
i2,6.379910863375284e-06
i3,5.737578154299419e-10
i4,9.678009027389375e-07
i5,5.2242669975085325e-15
i6,2.730181355807573e-12
i7,0.9999926254055833
i8,1.3665311499014949e-15
i9,1.3128181559347653e-23
i10,5.212077027836781e-16
i11,7.744972573332706e-24
i12,3.5993903182870297e-35
i13,3.6801127579702044e-12
i14,1.418913260060576e-28
i15,5.6329796362628075e-21
i16,6.829215440174923e-28
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
