Label,theta
i0,9.163291351663666e-19
i1,5.259712382233614e-07
i2,0.0001275792265867497
i3,1.147344843967443e-08
i4,1.9353137275537514e-05
i5,1.0446978927246978e-13
i6,4.093497180757463e-11
i7,0.9998525301467319
i8,1.3663396925271935e-15
i9,1.3126251843038845e-23
i10,3.770090610216345e-16
i11,5.6022023303295134e-24
i12,2.603416345747316e-35
i13,3.679596997357325e-12
i14,1.418693888217388e-28
i15,4.074501519611975e-21
i16,4.9307364597304995e-28
H2(g),0.8
CO2(g),0.2
H2O(g),0.0
CO(g),0.0
CH3OH(g),0.0
