name,energy,fflags,visible,opts,conc
i0,0.0,,,,0.9999824191226506
i1,-0.63,,,,1.7580877345613603e-05
i2,-0.22,,,,2.0477799427897253e-15
i3,0.24,,,,8.861994007731364e-24
i4,-0.47,,,,1.1872540657144981e-31
i5,-0.17,,,,8.665207779717424e-43
i6,-0.69,,,,9.775760362483333e-46
i7,-1.32,,,,2.4555609423868565e-51
i8,0.37,,,,3.3705805137077974e-74
i9,1.18,,,,7.098863426256638e-88
i10,0.55,,,,1.2481324653583165e-93
i11,1.44,,,,6.026492598887835e-110
i12,2.17,,,,1.5309230496151252e-124
i13,-0.02,,,,1.466734144302665e-71
i14,1.55,,,,1.1074847109673818e-93
i15,0.95,,,,1.9471956381500164e-99
i16,1.73,,,,2.0047980110824213e-117
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
