name,energy,fflags,visible,opts,conc
i0,0.0,,,,3.1270589755729285e-15
i1,-0.63,,,,0.0018184980834128
i2,-0.22,,,,0.4410936142802181
i3,0.24,,,,3.966840815414324e-05
i4,-0.47,,,,0.0666044480335856
i5,-0.17,,,,3.595361595105472e-10
i6,-0.69,,,,1.3840498216582966e-07
i7,-1.32,,,,0.4904436324283045
i8,0.37,,,,6.701700568542933e-16
i9,1.18,,,,6.438074371264357e-24
i10,0.55,,,,9.293035597486514e-18
i11,1.44,,,,1.380460657017172e-25
i12,2.17,,,,6.392171254217945e-37
i13,-0.02,,,,1.8042112138891728e-12
i14,1.55,,,,6.956008373989521e-29
i15,0.95,,,,1.003607775429734e-22
i16,1.73,,,,1.0713212564708908e-29
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
