name,energy,fflags,visible,opts,conc
i0,0.0,,,,9.163291351663666e-19
i1,-0.63,,,,5.259712382233614e-07
i2,-0.22,,,,0.0001275792265867
i3,0.24,,,,1.1473448439674431e-08
i4,-0.47,,,,1.9353137275537514e-05
i5,-0.17,,,,1.044697892724698e-13
i6,-0.69,,,,4.093497180757463e-11
i7,-1.32,,,,0.999852530146732
i8,0.37,,,,1.3663396925271937e-15
i9,1.18,,,,1.3126251843038845e-23
i10,0.55,,,,3.7700906102163454e-16
i11,1.44,,,,5.6022023303295134e-24
i12,2.17,,,,2.603416345747316e-35
i13,-0.02,,,,3.679596997357325e-12
i14,1.55,,,,1.418693888217388e-28
i15,0.95,,,,4.0745015196119745e-21
i16,1.73,,,,4.9307364597304995e-28
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
