name,energy,fflags,visible,opts,conc
i0,0.0,,,,
i1,-0.63,,,,
i2,-0.22,,,,
i3,0.24,,,,
i4,-0.47,,,,
i5,-0.17,,,,
i6,-0.69,,,,
i7,-1.32,,,,
i8,-0.02,,,,
i9,1.18,,,,
i10,0.55,,,,
i11,1.44,,,,
i12,2.17,,,,
i13,0.54,,,,
i14,1.55,,,,
i15,0.95,,,,
i16,1.73,,,,
H2(g),0.0,i,,,
CO2(g),0.0,i,,,
CO(g),0.5,i,,,
H2O(g),0.0,i,,,
CH3OH(g),0.3,i,,,
